height,block_time,num_txs,marker_present,extended_proposal_bytes,fsm_state,zk_proof_ref_present,other_tx_bytes,likely_recovery_proof_tx
191,2026-08-12T16:45:08.171784841Z,1,True,249,RECOVERING,False,0,False
192,2026-08-12T16:45:09.491300217Z,1,True,291,RECOVERING,True,0,False
193,2026-08-12T16:45:19.094143555Z,1,True,291,RECOVERING,True,0,False
194,2026-08-12T16:45:31.82583738Z,2,True,291,RECOVERING,True,14881,True
195,2026-08-12T16:45:52.776965126Z,1,True,247,ANCHORED,False,0,False
196,2026-08-12T16:45:54.10422921Z,1,True,247,ANCHORED,False,0,False
197,2026-08-12T16:45:55.387234877Z,1,True,247,ANCHORED,False,0,False
198,2026-08-12T16:45:56.604636044Z,1,True,247,ANCHORED,False,0,False
199,2026-08-12T16:45:57.73787517Z,1,True,247,ANCHORED,False,0,False
200,2026-08-12T16:45:58.957451004Z,1,True,247,ANCHORED,False,0,False
201,2026-08-12T16:46:00.144278546Z,1,True,247,ANCHORED,False,0,False
202,2026-08-12T16:46:01.475599463Z,1,True,247,ANCHORED,False,0,False
203,2026-08-12T16:46:02.796876255Z,1,True,248,ANCHORED,False,0,False
204,2026-08-12T16:46:04.099799089Z,1,True,247,ANCHORED,False,0,False
205,2026-08-12T16:46:05.34540509Z,1,True,247,ANCHORED,False,0,False
206,2026-08-12T16:46:06.656795966Z,1,True,247,ANCHORED,False,0,False
207,2026-08-12T16:46:07.971202925Z,1,True,247,ANCHORED,False,0,False
208,2026-08-12T16:46:09.216102259Z,1,True,247,ANCHORED,False,0,False
209,2026-08-12T16:46:10.534154259Z,1,True,247,ANCHORED,False,0,False
210,2026-08-12T16:46:11.849447093Z,1,True,247,ANCHORED,False,0,False
211,2026-08-12T16:46:13.160021719Z,1,True,247,ANCHORED,False,0,False
212,2026-08-12T16:46:14.478217761Z,1,True,247,ANCHORED,False,0,False
213,2026-08-12T16:46:15.791782095Z,1,True,247,ANCHORED,False,0,False
214,2026-08-12T16:46:17.104158512Z,1,True,247,ANCHORED,False,0,False
215,2026-08-12T16:46:18.41983768Z,1,True,247,ANCHORED,False,0,False
216,2026-08-12T16:46:19.729685305Z,1,True,247,ANCHORED,False,0,False
217,2026-08-12T16:46:20.973084625Z,1,True,247,ANCHORED,False,0,False
218,2026-08-12T16:46:22.293030917Z,1,True,247,ANCHORED,False,0,False
219,2026-08-12T16:46:23.602869709Z,1,True,247,ANCHORED,False,0,False
220,2026-08-12T16:46:24.916592835Z,1,True,247,ANCHORED,False,0,False
221,2026-08-12T16:46:26.266818461Z,1,True,247,ANCHORED,False,0,False
222,2026-08-12T16:46:27.470395961Z,1,True,247,ANCHORED,False,0,False
223,2026-08-12T16:46:28.676704337Z,1,True,247,ANCHORED,False,0,False
224,2026-08-12T16:46:29.979095546Z,1,True,247,ANCHORED,False,0,False
225,2026-08-12T16:46:31.204286421Z,1,True,247,ANCHORED,False,0,False
226,2026-08-12T16:46:32.500215214Z,1,True,247,ANCHORED,False,0,False
227,2026-08-12T16:46:33.718768923Z,1,True,247,ANCHORED,False,0,False
228,2026-08-12T16:46:35.030356465Z,1,True,247,ANCHORED,False,0,False
229,2026-08-12T16:46:36.570798507Z,1,True,247,ANCHORED,False,0,False
230,2026-08-12T16:46:40.218852717Z,1,True,247,ANCHORED,False,0,False
231,2026-08-12T16:46:41.807101051Z,1,True,247,ANCHORED,False,0,False
232,2026-08-12T16:46:43.851377261Z,1,True,247,ANCHORED,False,0,False
233,2026-08-12T16:46:45.355362595Z,1,True,247,ANCHORED,False,0,False
234,2026-08-12T16:46:48.900930013Z,1,True,247,ANCHORED,False,0,False
235,2026-08-12T16:46:50.51371375Z,1,True,247,ANCHORED,False,0,False
236,2026-08-12T16:46:52.335537417Z,1,True,247,ANCHORED,False,0,False
237,2026-08-12T16:46:53.846121585Z,1,True,247,ANCHORED,False,0,False
238,2026-08-12T16:46:57.38327967Z,1,True,247,ANCHORED,False,0,False
239,2026-08-12T16:46:59.213395837Z,1,True,247,ANCHORED,False,0,False
240,2026-08-12T16:47:01.12873363Z,1,True,247,ANCHORED,False,0,False
241,2026-08-12T16:47:02.76174113Z,1,True,248,ANCHORED,False,0,False
242,2026-08-12T16:47:09.117368383Z,1,True,247,ANCHORED,False,0,False
243,2026-08-12T16:47:10.739061509Z,1,True,247,ANCHORED,False,0,False
244,2026-08-12T16:47:12.59760476Z,1,True,247,ANCHORED,False,0,False
245,2026-08-12T16:47:14.182764011Z,1,True,247,ANCHORED,False,0,False
246,2026-08-12T16:47:17.622845554Z,1,True,247,ANCHORED,False,0,False
247,2026-08-12T16:47:19.330199222Z,1,True,247,ANCHORED,False,0,False
248,2026-08-12T16:47:21.254530833Z,1,True,247,ANCHORED,False,0,False
249,2026-08-12T16:47:22.763572042Z,1,True,247,ANCHORED,False,0,False
250,2026-08-12T16:47:26.196764502Z,1,True,247,ANCHORED,False,0,False
251,2026-08-12T16:47:27.818160711Z,1,True,247,ANCHORED,False,0,False
252,2026-08-12T16:47:29.620903462Z,1,True,247,ANCHORED,False,0,False
253,2026-08-12T16:47:31.154023463Z,1,True,247,ANCHORED,False,0,False
254,2026-08-12T16:47:34.478675715Z,1,True,247,ANCHORED,False,0,False
255,2026-08-12T16:47:36.099720507Z,1,True,247,ANCHORED,False,0,False
256,2026-08-12T16:47:37.915176966Z,1,True,247,ANCHORED,False,0,False
257,2026-08-12T16:47:39.558634342Z,1,True,247,ANCHORED,False,0,False
258,2026-08-12T16:47:42.894111677Z,1,True,247,ANCHORED,False,0,False
259,2026-08-12T16:47:44.709020344Z,1,True,247,ANCHORED,False,0,False
260,2026-08-12T16:47:46.526508762Z,1,True,247,ANCHORED,False,0,False
261,2026-08-12T16:47:48.042400138Z,1,True,247,ANCHORED,False,0,False
262,2026-08-12T16:47:51.48754275Z,1,True,247,ANCHORED,False,0,False
263,2026-08-12T16:47:53.184270126Z,1,True,247,ANCHORED,False,0,False
264,2026-08-12T16:47:55.126880752Z,1,True,247,ANCHORED,False,0,False
265,2026-08-12T16:47:56.637164086Z,1,True,247,ANCHORED,False,0,False
266,2026-08-12T16:48:00.182604254Z,1,True,247,ANCHORED,False,0,False
267,2026-08-12T16:48:01.775927088Z,1,True,247,ANCHORED,False,0,False
268,2026-08-12T16:48:03.610239006Z,1,True,248,ANCHORED,False,0,False
269,2026-08-12T16:48:05.627828132Z,1,True,247,ANCHORED,False,0,False
270,2026-08-12T16:48:09.372159884Z,1,True,247,ANCHORED,False,0,False
271,2026-08-12T16:48:10.986400259Z,1,True,247,ANCHORED,False,0,False
272,2026-08-12T16:48:12.803836552Z,1,True,247,ANCHORED,False,0,False
273,2026-08-12T16:48:14.427120136Z,1,True,247,ANCHORED,False,0,False
274,2026-08-12T16:48:17.656259888Z,1,True,247,ANCHORED,False,0,False
275,2026-08-12T16:48:19.389438763Z,1,True,247,ANCHORED,False,0,False
276,2026-08-12T16:48:21.310959333Z,1,True,247,ANCHORED,False,0,False
277,2026-08-12T16:48:22.815552334Z,1,True,247,ANCHORED,False,0,False
278,2026-08-12T16:48:26.361324627Z,1,True,247,ANCHORED,False,0,False
279,2026-08-12T16:48:28.076668003Z,1,True,247,ANCHORED,False,0,False
280,2026-08-12T16:48:29.899924462Z,1,True,247,ANCHORED,False,0,False
281,2026-08-12T16:48:31.512524755Z,1,True,247,ANCHORED,False,0,False
282,2026-08-12T16:48:34.95569609Z,1,True,247,ANCHORED,False,0,False
283,2026-08-12T16:48:36.664601632Z,1,True,247,ANCHORED,False,0,False
284,2026-08-12T16:48:38.602248342Z,1,True,247,ANCHORED,False,0,False
285,2026-08-12T16:48:40.220566592Z,1,True,247,ANCHORED,False,0,False
286,2026-08-12T16:48:43.462735886Z,1,True,247,ANCHORED,False,0,False
287,2026-08-12T16:48:45.16807797Z,1,True,247,ANCHORED,False,0,False
288,2026-08-12T16:48:46.992716887Z,1,True,247,ANCHORED,False,0,False
289,2026-08-12T16:48:48.497646221Z,1,True,247,ANCHORED,False,0,False
290,2026-08-12T16:48:52.0793Z,1,True,247,ANCHORED,False,0,False
291,2026-08-12T16:48:53.743782043Z,1,True,247,ANCHORED,False,0,False
292,2026-08-12T16:48:55.598958085Z,1,True,247,ANCHORED,False,0,False
293,2026-08-12T16:48:57.080806461Z,1,True,247,ANCHORED,False,0,False
294,2026-08-12T16:49:00.436972754Z,1,True,247,ANCHORED,False,0,False
295,2026-08-12T16:49:02.232946838Z,1,True,247,ANCHORED,False,0,False
296,2026-08-12T16:49:04.090125464Z,1,True,248,ANCHORED,False,0,False
297,2026-08-12T16:49:06.181818257Z,1,True,247,ANCHORED,False,0,False
298,2026-08-12T16:49:09.947886342Z,1,True,247,ANCHORED,False,0,False
299,2026-08-12T16:49:11.838689718Z,1,True,247,ANCHORED,False,0,False
300,2026-08-12T16:49:13.771440094Z,1,True,247,ANCHORED,False,0,False
301,2026-08-12T16:49:15.37027372Z,1,True,247,ANCHORED,False,0,False
302,2026-08-12T16:49:18.73962143Z,1,True,247,ANCHORED,False,0,False
303,2026-08-12T16:49:20.324424597Z,1,True,247,ANCHORED,False,0,False
304,2026-08-12T16:49:22.230197417Z,1,True,247,ANCHORED,False,0,False
305,2026-08-12T16:49:23.683188501Z,1,True,247,ANCHORED,False,0,False
306,2026-08-12T16:49:27.382937711Z,1,True,247,ANCHORED,False,0,False
307,2026-08-12T16:49:29.003725754Z,1,True,247,ANCHORED,False,0,False
308,2026-08-12T16:49:30.827038504Z,1,True,247,ANCHORED,False,0,False
309,2026-08-12T16:49:32.328241589Z,1,True,247,ANCHORED,False,0,False
310,2026-08-12T16:49:35.874471924Z,1,True,247,ANCHORED,False,0,False
311,2026-08-12T16:49:37.489885466Z,1,True,247,ANCHORED,False,0,False
312,2026-08-12T16:49:39.307367134Z,1,True,247,ANCHORED,False,0,False
313,2026-08-12T16:49:40.859187884Z,1,True,247,ANCHORED,False,0,False
314,2026-08-12T16:49:44.252896344Z,1,True,247,ANCHORED,False,0,False
315,2026-08-12T16:49:45.968225845Z,1,True,247,ANCHORED,False,0,False
316,2026-08-12T16:49:47.882765554Z,1,True,247,ANCHORED,False,0,False
317,2026-08-12T16:49:49.298570472Z,1,True,247,ANCHORED,False,0,False
318,2026-08-12T16:49:52.721680251Z,1,True,247,ANCHORED,False,0,False
319,2026-08-12T16:49:54.347137376Z,1,True,247,ANCHORED,False,0,False
320,2026-08-12T16:49:56.257222169Z,1,True,247,ANCHORED,False,0,False
321,2026-08-12T16:49:57.687861336Z,1,True,247,ANCHORED,False,0,False
322,2026-08-12T16:50:01.128637546Z,1,True,247,ANCHORED,False,0,False
323,2026-08-12T16:50:02.791361922Z,1,True,248,ANCHORED,False,0,False
324,2026-08-12T16:50:06.722258216Z,1,True,247,ANCHORED,False,0,False
325,2026-08-12T16:50:08.345123591Z,1,True,247,ANCHORED,False,0,False
326,2026-08-12T16:50:11.739700176Z,1,True,247,ANCHORED,False,0,False
327,2026-08-12T16:50:13.450670927Z,1,True,247,ANCHORED,False,0,False
328,2026-08-12T16:50:15.272544136Z,1,True,247,ANCHORED,False,0,False
